SampID,Compound,Area,Cruise
220623_Std_4uMStdsMix1InMatrix_2,Betonicine,145199,KM1906
220623_Std_4uMStdsMix2InH2O_1,Betonicine,1362755328,KM1906
220623_Std_4uMStdsMix2InH2O_2,Betonicine,1988964096,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Betonicine,1429038336,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Betonicine,1955021568,KM1906
220623_Std_H2OinMatrix_1,Betonicine,1196565,KM1906
220623_Std_H2OinMatrix_2,Betonicine,1075801,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Betonicine,2108213,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Betonicine,2185447,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Betonicine,1955398,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Betonicine,912356,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Betonicine,1094002,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Betonicine,1263436,KM1906
220623_Smp_CXSPE_Blk1_A,Betonicine,50522,KM1906
220623_Smp_CXSPE_Blk1_B,Betonicine,77990,KM1906
220623_Smp_CXSPE_Blk1_C,Betonicine,169295,KM1906
220623_Smp_CXSPE_Blk2_A,Betonicine,64288,KM1906
220623_Smp_CXSPE_Blk2_B,Betonicine,70184,KM1906
220623_Smp_CXSPE_Blk2_C,Betonicine,45674,KM1906
220623_Smp_CXSPE_Blk3_A,Betonicine,73751,KM1906
220623_Smp_CXSPE_Blk3_B,Betonicine,81128,KM1906
220623_Smp_CXSPE_Blk3_C,Betonicine,19424,KM1906
220623_Smp_CXSPE_Blk4_A,Betonicine,47442,KM1906
220623_Smp_CXSPE_Blk4_B,Betonicine,33684,KM1906
220623_Smp_CXSPE_Blk4_C,Betonicine,89370,KM1906
220623_Smp_MQBlk_1,Betonicine,261801,KM1906
220623_Smp_MQBlk_2,Betonicine,119229,KM1906
220623_Smp_MQBlk_3,Betonicine,37225,KM1906
220623_Smp_MQBlk_4,Betonicine,95268,KM1906
220623_Smp_MQBlk_5,Betonicine,365909,KM1906
220623_Smp_MQBlk_6,Betonicine,201704,KM1906
220623_Std_4uMStdsMix1InH2O_1,Dimethylsulfonioacetate,NA,KM1906
220623_Std_4uMStdsMix1InH2O_2,Dimethylsulfonioacetate,14999,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Dimethylsulfonioacetate,11661007,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Dimethylsulfonioacetate,13633034,KM1906
220623_Std_4uMStdsMix2InH2O_1,Dimethylsulfonioacetate,614412992,KM1906
220623_Std_4uMStdsMix2InH2O_2,Dimethylsulfonioacetate,856265408,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Dimethylsulfonioacetate,646820096,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Dimethylsulfonioacetate,861243456,KM1906
220623_Std_H2OinMatrix_1,Dimethylsulfonioacetate,11868570,KM1906
220623_Std_H2OinMatrix_2,Dimethylsulfonioacetate,13407595,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Dimethylsulfonioacetate,20589488,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Dimethylsulfonioacetate,21366516,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Dimethylsulfonioacetate,26790420,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Dimethylsulfonioacetate,9842702,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Dimethylsulfonioacetate,10779750,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Dimethylsulfonioacetate,13391003,KM1906
220623_Smp_CXSPE_Blk1_A,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk1_B,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk1_C,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk2_A,Dimethylsulfonioacetate,12660,KM1906
220623_Smp_CXSPE_Blk2_B,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk2_C,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk3_A,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk3_B,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk3_C,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk4_A,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk4_B,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk4_C,Dimethylsulfonioacetate,0,KM1906
220623_Smp_MQBlk_1,Dimethylsulfonioacetate,366901,KM1906
220623_Smp_MQBlk_2,Dimethylsulfonioacetate,767926,KM1906
220623_Smp_MQBlk_3,Dimethylsulfonioacetate,144894,KM1906
220623_Smp_MQBlk_4,Dimethylsulfonioacetate,73309,KM1906
220623_Smp_MQBlk_5,Dimethylsulfonioacetate,63471,KM1906
220623_Smp_MQBlk_6,Dimethylsulfonioacetate,108342,KM1906
220623_Std_4uMStdsMix1InH2O_1,Dimethylsulfoniopropionate,10963,KM1906
220623_Std_4uMStdsMix1InH2O_2,Dimethylsulfoniopropionate,NA,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Dimethylsulfoniopropionate,40843140,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Dimethylsulfoniopropionate,45087284,KM1906
220623_Std_4uMStdsMix2InH2O_1,Dimethylsulfoniopropionate,1007944448,KM1906
220623_Std_4uMStdsMix2InH2O_2,Dimethylsulfoniopropionate,1365061376,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Dimethylsulfoniopropionate,1080469888,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Dimethylsulfoniopropionate,1445079424,KM1906
220623_Std_H2OinMatrix_1,Dimethylsulfoniopropionate,41672964,KM1906
220623_Std_H2OinMatrix_2,Dimethylsulfoniopropionate,45257492,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Dimethylsulfoniopropionate,80663352,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Dimethylsulfoniopropionate,75165408,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Dimethylsulfoniopropionate,81782128,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Dimethylsulfoniopropionate,33810864,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Dimethylsulfoniopropionate,39822768,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Dimethylsulfoniopropionate,42238616,KM1906
220623_Smp_CXSPE_Blk1_A,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk1_B,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk1_C,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk2_A,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk2_B,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk2_C,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk3_A,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk3_B,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk3_C,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk4_A,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk4_B,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk4_C,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_MQBlk_1,Dimethylsulfoniopropionate,2860693,KM1906
220623_Smp_MQBlk_2,Dimethylsulfoniopropionate,5771867,KM1906
220623_Smp_MQBlk_3,Dimethylsulfoniopropionate,405276,KM1906
220623_Smp_MQBlk_4,Dimethylsulfoniopropionate,909047,KM1906
220623_Smp_MQBlk_5,Dimethylsulfoniopropionate,603329,KM1906
220623_Smp_MQBlk_6,Dimethylsulfoniopropionate,1097979,KM1906
220623_Std_4uMStdsMix1InH2O_1,Glycine betaine,1992734464,KM1906
220623_Std_4uMStdsMix1InH2O_2,Glycine betaine,2467828480,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Glycine betaine,2644496896,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Glycine betaine,3214760960,KM1906
220623_Std_4uMStdsMix2InH2O_1,Glycine betaine,423703,KM1906
220623_Std_4uMStdsMix2InH2O_2,Glycine betaine,698212,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Glycine betaine,981549312,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Glycine betaine,1165051008,KM1906
220623_Std_H2OinMatrix_1,Glycine betaine,1032321280,KM1906
220623_Std_H2OinMatrix_2,Glycine betaine,1207679872,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Glycine betaine,1671296512,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Glycine betaine,1871757696,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Glycine betaine,2334458368,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Glycine betaine,830433664,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Glycine betaine,938015488,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Glycine betaine,1172077440,KM1906
220623_Smp_CXSPE_Blk1_A,Glycine betaine,361727296,KM1906
220623_Smp_CXSPE_Blk1_B,Glycine betaine,305924640,KM1906
220623_Smp_CXSPE_Blk1_C,Glycine betaine,353454464,KM1906
220623_Smp_CXSPE_Blk2_A,Glycine betaine,1051448192,KM1906
220623_Smp_CXSPE_Blk2_B,Glycine betaine,873798592,KM1906
220623_Smp_CXSPE_Blk2_C,Glycine betaine,203895440,KM1906
220623_Smp_CXSPE_Blk3_A,Glycine betaine,258049536,KM1906
220623_Smp_CXSPE_Blk3_B,Glycine betaine,356337824,KM1906
220623_Smp_CXSPE_Blk3_C,Glycine betaine,334756448,KM1906
220623_Smp_CXSPE_Blk4_A,Glycine betaine,1977436544,KM1906
220623_Smp_CXSPE_Blk4_B,Glycine betaine,2264611328,KM1906
220623_Smp_CXSPE_Blk4_C,Glycine betaine,6706788864,KM1906
220623_Smp_MQBlk_1,Glycine betaine,1590769408,KM1906
220623_Smp_MQBlk_2,Glycine betaine,3675841792,KM1906
220623_Smp_MQBlk_3,Glycine betaine,1000427648,KM1906
220623_Smp_MQBlk_4,Glycine betaine,1110795392,KM1906
220623_Smp_MQBlk_5,Glycine betaine,1575390336,KM1906
220623_Smp_MQBlk_6,Glycine betaine,3491867648,KM1906
220623_Std_4uMStdsMix1InH2O_1,Gonyol,NA,KM1906
220623_Std_4uMStdsMix1InH2O_2,Gonyol,13029,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Gonyol,620410,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Gonyol,519940,KM1906
220623_Std_4uMStdsMix2InH2O_1,Gonyol,60283628,KM1906
220623_Std_4uMStdsMix2InH2O_2,Gonyol,88992744,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Gonyol,67681584,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Gonyol,93656200,KM1906
220623_Std_H2OinMatrix_1,Gonyol,686562,KM1906
220623_Std_H2OinMatrix_2,Gonyol,770612,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Gonyol,1252768,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Gonyol,1222063,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Gonyol,1501273,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Gonyol,501882,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Gonyol,633033,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Gonyol,710700,KM1906
220623_Smp_CXSPE_Blk1_A,Gonyol,0,KM1906
220623_Smp_CXSPE_Blk1_B,Gonyol,0,KM1906
220623_Smp_CXSPE_Blk1_C,Gonyol,0,KM1906
220623_Smp_CXSPE_Blk2_A,Gonyol,610248,KM1906
220623_Smp_CXSPE_Blk2_B,Gonyol,565245,KM1906
220623_Smp_CXSPE_Blk2_C,Gonyol,0,KM1906
220623_Smp_CXSPE_Blk3_A,Gonyol,49927,KM1906
220623_Smp_CXSPE_Blk3_B,Gonyol,22707,KM1906
220623_Smp_CXSPE_Blk3_C,Gonyol,45713,KM1906
220623_Smp_CXSPE_Blk4_A,Gonyol,44162,KM1906
220623_Smp_CXSPE_Blk4_B,Gonyol,7588,KM1906
220623_Smp_CXSPE_Blk4_C,Gonyol,1749094,KM1906
220623_Smp_MQBlk_1,Gonyol,11774,KM1906
220623_Smp_MQBlk_2,Gonyol,1889230,KM1906
220623_Smp_MQBlk_3,Gonyol,0,KM1906
220623_Smp_MQBlk_4,Gonyol,0,KM1906
220623_Smp_MQBlk_5,Gonyol,0,KM1906
220623_Smp_MQBlk_6,Gonyol,126795,KM1906
220623_Std_4uMStdsMix1InH2O_1,Homarine,NA,KM1906
220623_Std_4uMStdsMix1InH2O_2,Homarine,NA,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Homarine,57909600,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Homarine,61989824,KM1906
220623_Std_4uMStdsMix2InH2O_1,Homarine,83719800,KM1906
220623_Std_4uMStdsMix2InH2O_2,Homarine,104346176,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Homarine,135629424,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Homarine,168207184,KM1906
220623_Std_H2OinMatrix_1,Homarine,61773232,KM1906
220623_Std_H2OinMatrix_2,Homarine,64748732,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Homarine,94332544,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Homarine,102396280,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Homarine,125779296,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Homarine,49831988,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Homarine,50882164,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Homarine,60332932,KM1906
220623_Smp_CXSPE_Blk1_A,Homarine,97678,KM1906
220623_Smp_CXSPE_Blk1_B,Homarine,108521,KM1906
220623_Smp_CXSPE_Blk1_C,Homarine,128079,KM1906
220623_Smp_CXSPE_Blk2_A,Homarine,75461,KM1906
220623_Smp_CXSPE_Blk2_B,Homarine,103579,KM1906
220623_Smp_CXSPE_Blk2_C,Homarine,151280,KM1906
220623_Smp_CXSPE_Blk3_A,Homarine,132276,KM1906
220623_Smp_CXSPE_Blk3_B,Homarine,89471,KM1906
220623_Smp_CXSPE_Blk3_C,Homarine,95851,KM1906
220623_Smp_CXSPE_Blk4_A,Homarine,91281,KM1906
220623_Smp_CXSPE_Blk4_B,Homarine,66597,KM1906
220623_Smp_CXSPE_Blk4_C,Homarine,7806,KM1906
220623_Smp_MQBlk_1,Homarine,963662,KM1906
220623_Smp_MQBlk_2,Homarine,1144626,KM1906
220623_Smp_MQBlk_3,Homarine,505621,KM1906
220623_Smp_MQBlk_4,Homarine,379135,KM1906
220623_Smp_MQBlk_5,Homarine,658766,KM1906
220623_Smp_MQBlk_6,Homarine,228768,KM1906
220623_Std_4uMStdsMix1InH2O_1,Proline betaine,315544256,KM1906
220623_Std_4uMStdsMix1InH2O_2,Proline betaine,388468992,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Proline betaine,200372368,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Proline betaine,366948928,KM1906
220623_Std_4uMStdsMix2InH2O_1,Proline betaine,533741,KM1906
220623_Std_4uMStdsMix2InH2O_2,Proline betaine,674757,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Proline betaine,1675394,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Proline betaine,2232849,KM1906
220623_Std_H2OinMatrix_1,Proline betaine,1481973,KM1906
220623_Std_H2OinMatrix_2,Proline betaine,1505214,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Proline betaine,2104484,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Proline betaine,2320479,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Proline betaine,3020007,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Proline betaine,1110869,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Proline betaine,1329258,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Proline betaine,1821826,KM1906
220623_Smp_CXSPE_Blk1_A,Proline betaine,49766,KM1906
220623_Smp_CXSPE_Blk1_B,Proline betaine,49446,KM1906
220623_Smp_CXSPE_Blk1_C,Proline betaine,61845,KM1906
220623_Smp_CXSPE_Blk2_A,Proline betaine,52235,KM1906
220623_Smp_CXSPE_Blk2_B,Proline betaine,21321,KM1906
220623_Smp_CXSPE_Blk2_C,Proline betaine,17870,KM1906
220623_Smp_CXSPE_Blk3_A,Proline betaine,21892,KM1906
220623_Smp_CXSPE_Blk3_B,Proline betaine,30563,KM1906
220623_Smp_CXSPE_Blk3_C,Proline betaine,303216,KM1906
220623_Smp_CXSPE_Blk4_A,Proline betaine,224659,KM1906
220623_Smp_CXSPE_Blk4_B,Proline betaine,226454,KM1906
220623_Smp_CXSPE_Blk4_C,Proline betaine,192655,KM1906
220623_Smp_MQBlk_1,Proline betaine,450168,KM1906
220623_Smp_MQBlk_2,Proline betaine,135503,KM1906
220623_Smp_MQBlk_3,Proline betaine,388686,KM1906
220623_Smp_MQBlk_4,Proline betaine,158389,KM1906
220623_Smp_MQBlk_5,Proline betaine,619600,KM1906
220623_Smp_MQBlk_6,Proline betaine,635750,KM1906
220623_Std_4uMStdsMix1InH2O_1,Trigonelline,249794256,KM1906
220623_Std_4uMStdsMix1InH2O_2,Trigonelline,299759968,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Trigonelline,161413568,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Trigonelline,281771040,KM1906
220623_Std_4uMStdsMix2InH2O_1,Trigonelline,71765032,KM1906
220623_Std_4uMStdsMix2InH2O_2,Trigonelline,98039792,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Trigonelline,85938880,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Trigonelline,80342080,KM1906
220623_Std_H2OinMatrix_1,Trigonelline,9142070,KM1906
220623_Std_H2OinMatrix_2,Trigonelline,10832386,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Trigonelline,14562411,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Trigonelline,16819734,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Trigonelline,21573454,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Trigonelline,7596548,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Trigonelline,8660076,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Trigonelline,10803322,KM1906
220623_Smp_CXSPE_Blk1_A,Trigonelline,293744,KM1906
220623_Smp_CXSPE_Blk1_B,Trigonelline,424962,KM1906
220623_Smp_CXSPE_Blk1_C,Trigonelline,419711,KM1906
220623_Smp_CXSPE_Blk2_A,Trigonelline,697846,KM1906
220623_Smp_CXSPE_Blk2_B,Trigonelline,670306,KM1906
220623_Smp_CXSPE_Blk2_C,Trigonelline,411554,KM1906
220623_Smp_CXSPE_Blk3_A,Trigonelline,638936,KM1906
220623_Smp_CXSPE_Blk3_B,Trigonelline,521197,KM1906
220623_Smp_CXSPE_Blk3_C,Trigonelline,724378,KM1906
220623_Smp_CXSPE_Blk4_A,Trigonelline,762870,KM1906
220623_Smp_CXSPE_Blk4_B,Trigonelline,817388,KM1906
220623_Smp_CXSPE_Blk4_C,Trigonelline,1564236,KM1906
220623_Smp_MQBlk_1,Trigonelline,1243268,KM1906
220623_Smp_MQBlk_2,Trigonelline,1277447,KM1906
220623_Smp_MQBlk_3,Trigonelline,2104465,KM1906
220623_Smp_MQBlk_4,Trigonelline,38253552,KM1906
220623_Smp_MQBlk_5,Trigonelline,2014835,KM1906
220623_Smp_MQBlk_6,Trigonelline,4611541,KM1906
220623_Std_4uMStdsMix1InH2O_1,Trimethylamine N-oxide,440176480,KM1906
220623_Std_4uMStdsMix1InH2O_2,Trimethylamine N-oxide,596710592,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Trimethylamine N-oxide,404698400,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Trimethylamine N-oxide,580841152,KM1906
220623_Std_4uMStdsMix2InH2O_1,Trimethylamine N-oxide,35689,KM1906
220623_Std_4uMStdsMix2InH2O_2,Trimethylamine N-oxide,24493,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Trimethylamine N-oxide,32655168,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Trimethylamine N-oxide,43954792,KM1906
220623_Std_H2OinMatrix_1,Trimethylamine N-oxide,31757338,KM1906
220623_Std_H2OinMatrix_2,Trimethylamine N-oxide,41382404,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Trimethylamine N-oxide,48226564,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Trimethylamine N-oxide,52534828,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Trimethylamine N-oxide,81571896,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Trimethylamine N-oxide,25046964,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Trimethylamine N-oxide,27064528,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Trimethylamine N-oxide,40459248,KM1906
220623_Smp_CXSPE_Blk1_A,Trimethylamine N-oxide,158773,KM1906
220623_Smp_CXSPE_Blk1_B,Trimethylamine N-oxide,72928,KM1906
220623_Smp_CXSPE_Blk1_C,Trimethylamine N-oxide,73358,KM1906
220623_Smp_CXSPE_Blk2_A,Trimethylamine N-oxide,182544,KM1906
220623_Smp_CXSPE_Blk2_B,Trimethylamine N-oxide,210474,KM1906
220623_Smp_CXSPE_Blk2_C,Trimethylamine N-oxide,143710,KM1906
220623_Smp_CXSPE_Blk3_A,Trimethylamine N-oxide,292762,KM1906
220623_Smp_CXSPE_Blk3_B,Trimethylamine N-oxide,317858,KM1906
220623_Smp_CXSPE_Blk3_C,Trimethylamine N-oxide,316192,KM1906
220623_Smp_CXSPE_Blk4_A,Trimethylamine N-oxide,113700,KM1906
220623_Smp_CXSPE_Blk4_B,Trimethylamine N-oxide,57585,KM1906
220623_Smp_CXSPE_Blk4_C,Trimethylamine N-oxide,495592,KM1906
220623_Smp_MQBlk_1,Trimethylamine N-oxide,292405,KM1906
220623_Smp_MQBlk_2,Trimethylamine N-oxide,654680,KM1906
220623_Smp_MQBlk_3,Trimethylamine N-oxide,395965,KM1906
220623_Smp_MQBlk_4,Trimethylamine N-oxide,224504,KM1906
220623_Smp_MQBlk_5,Trimethylamine N-oxide,308087,KM1906
220623_Smp_MQBlk_6,Trimethylamine N-oxide,290112,KM1906
220602_Std_4uMStdsMix1InH2O_1,beta-Alaninebetaine,144065,TN397
220602_Std_4uMStdsMix1InH2O_2,beta-Alaninebetaine,321182,TN397
220602_Std_4uMStdsMix1InMatrix_1,beta-Alaninebetaine,16490673,TN397
220602_Std_4uMStdsMix1InMatrix_2,beta-Alaninebetaine,16484425,TN397
220602_Std_4uMStdsMix2InH2O_1,beta-Alaninebetaine,1117023872,TN397
220602_Std_4uMStdsMix2InH2O_2,beta-Alaninebetaine,1339026432,TN397
220602_Std_4uMStdsMix2InMatrix_1,beta-Alaninebetaine,1286308480,TN397
220602_Std_4uMStdsMix2InMatrix_2,beta-Alaninebetaine,1357155584,TN397
220602_Std_H2OinMatrix_1,beta-Alaninebetaine,14950651,TN397
220602_Std_H2OinMatrix_2,beta-Alaninebetaine,18109952,TN397
220602_Poo_TruePooG4-CXSPE_Full1,beta-Alaninebetaine,22782890,TN397
220602_Poo_TruePooG4-CXSPE_Full2,beta-Alaninebetaine,23254612,TN397
220602_Poo_TruePooG4-CXSPE_Full3,beta-Alaninebetaine,25222344,TN397
220602_Poo_TruePooG4-CXSPE_Full4,beta-Alaninebetaine,26785546,TN397
220602_Poo_TruePooG4-CXSPE_Half1,beta-Alaninebetaine,11636943,TN397
220602_Poo_TruePooG4-CXSPE_Half2,beta-Alaninebetaine,11727610,TN397
220602_Poo_TruePooG4-CXSPE_Half3,beta-Alaninebetaine,14329279,TN397
220602_Poo_TruePooG4-CXSPE_Half4,beta-Alaninebetaine,13475884,TN397
220602_Std_4uMStdsMix1InH2O_1,Betonicine,54488,TN397
220602_Std_4uMStdsMix1InH2O_2,Betonicine,45590,TN397
220602_Std_4uMStdsMix1InMatrix_1,Betonicine,1595621,TN397
220602_Std_4uMStdsMix1InMatrix_2,Betonicine,1577168,TN397
220602_Std_4uMStdsMix2InH2O_1,Betonicine,1763056256,TN397
220602_Std_4uMStdsMix2InH2O_2,Betonicine,2086693504,TN397
220602_Std_4uMStdsMix2InMatrix_1,Betonicine,1906756096,TN397
